"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"905844"	"28099_1_232.1"	"*"	"28099_1_232"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
1	"0"	"719384"	"34154_7_312.2"	"*"	"34154_7_312"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
2	"0"	"710824"	"34154_7_59.2"	"*"	"34154_7_59"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
3	"0"	"699805"	"34154_7_366.3"	"*"	"34154_7_366"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
4	"0"	"639293"	"34154_7_146.3"	"*"	"34154_7_146"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
5	"0"	"622199"	"34154_7_108.4"	"*"	"34154_7_108"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
5	"1"	"264137"	"34154_7_248.7"	"100.00"	"34154_7_248"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
5	"2"	"471211"	"34154_7_80.5"	"100.00"	"34154_7_80"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
6	"0"	"596631"	"26141_1_241.2"	"100.00"	"26141_1_241"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
6	"1"	"596635"	"26141_1_261.2"	"*"	"26141_1_261"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
6	"2"	"596632"	"26141_1_275.2"	"100.00"	"26141_1_275"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
6	"3"	"596632"	"26141_1_282.2"	"100.00"	"26141_1_282"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
6	"4"	"596634"	"28099_1_133.2"	"100.00"	"28099_1_133"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
7	"0"	"583775"	"28099_1_22.2"	"*"	"28099_1_22"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
8	"0"	"476494"	"28099_2_190.1"	"*"	"28099_2_190"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
9	"0"	"442193"	"28099_1_371.2"	"*"	"28099_1_371"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
10	"0"	"433077"	"34154_7_18.2"	"*"	"34154_7_18"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
11	"0"	"422597"	"28099_1_260.2"	"*"	"28099_1_260"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
12	"0"	"408578"	"34154_7_30.4"	"*"	"34154_7_30"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
13	"0"	"396933"	"28099_1_173.3"	"*"	"28099_1_173"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
14	"0"	"376578"	"34154_7_376.4"	"*"	"34154_7_376"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
15	"0"	"366313"	"28099_2_255.3"	"*"	"28099_2_255"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
16	"0"	"360515"	"28099_1_19.4"	"*"	"28099_1_19"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
17	"0"	"331077"	"34154_7_94.7"	"*"	"34154_7_94"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
18	"0"	"328154"	"34154_7_369.6"	"*"	"34154_7_369"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
19	"0"	"157061"	"26141_1_186.13"	"99.96"	"26141_1_186"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
19	"1"	"324500"	"28099_1_382.5"	"*"	"28099_1_382"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
19	"2"	"316036"	"28099_1_82.5"	"98.86"	"28099_1_82"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
20	"0"	"306538"	"26141_1_144.4"	"100.00"	"26141_1_144"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
20	"1"	"189117"	"28099_1_167.7"	"99.92"	"28099_1_167"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
20	"2"	"306544"	"28099_1_207.5"	"*"	"28099_1_207"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
20	"3"	"306530"	"28099_1_306.5"	"100.00"	"28099_1_306"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
20	"4"	"306506"	"28099_1_349.3"	"100.00"	"28099_1_349"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
20	"5"	"173330"	"28099_2_308.5"	"100.00"	"28099_2_308"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
21	"0"	"268458"	"26141_1_168.6"	"100.00"	"26141_1_168"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
21	"1"	"297207"	"28099_1_110.6"	"*"	"28099_1_110"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
21	"2"	"269965"	"28099_1_269.6"	"99.81"	"28099_1_269"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
21	"3"	"268461"	"28099_2_182.7"	"100.00"	"28099_2_182"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
21	"4"	"268503"	"28099_2_56.7"	"100.00"	"28099_2_56"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
22	"0"	"294077"	"28099_2_80.4"	"*"	"28099_2_80"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
23	"0"	"108728"	"26141_1_236.17"	"99.99"	"26141_1_236"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
23	"1"	"108715"	"26141_1_297.18"	"100.00"	"26141_1_297"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
23	"2"	"254320"	"28099_1_106.4"	"*"	"28099_1_106"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
23	"3"	"108715"	"28099_1_209.16"	"100.00"	"28099_1_209"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
23	"4"	"109921"	"28099_1_315.15"	"98.90"	"28099_1_315"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
23	"5"	"109923"	"28099_1_47.16"	"98.90"	"28099_1_47"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
23	"6"	"108715"	"28099_2_48.18"	"100.00"	"28099_2_48"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
24	"0"	"247271"	"28099_1_277.7"	"*"	"28099_1_277"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
25	"0"	"244091"	"34154_7_75.9"	"*"	"34154_7_75"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
26	"0"	"211507"	"28099_1_34.8"	"99.99"	"28099_1_34"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
26	"1"	"244046"	"28099_1_363.7"	"*"	"28099_1_363"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
27	"0"	"237303"	"34154_7_379.11"	"*"	"34154_7_379"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
28	"0"	"225561"	"26141_1_177.7"	"100.00"	"26141_1_177"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
28	"1"	"225549"	"26141_1_180.7"	"100.00"	"26141_1_180"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
28	"2"	"225549"	"28099_1_213.7"	"100.00"	"28099_1_213"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.4"
