"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"1424667"	"34154_7_162.1"	"*"	"34154_7_162"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
1	"0"	"12461"	"34154_7_322.22"	"*"	"34154_7_322"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
2	"0"	"11582"	"34154_7_212.41"	"*"	"34154_7_212"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
3	"0"	"8790"	"26141_1_199.43"	"*"	"26141_1_199"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
3	"1"	"5680"	"26141_1_200.51"	"99.67"	"26141_1_200"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"0"	"4767"	"26141_1_146.76"	"98.28"	"26141_1_146"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"1"	"4724"	"26141_1_147.77"	"98.26"	"26141_1_147"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"2"	"4724"	"26141_1_183.75"	"98.26"	"26141_1_183"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"3"	"5154"	"26141_1_198.52"	"98.10"	"26141_1_198"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"4"	"5193"	"26141_1_203.78"	"98.42"	"26141_1_203"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"5"	"6477"	"26141_1_213.65"	"98.72"	"26141_1_213"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"6"	"4767"	"26141_1_225.68"	"98.28"	"26141_1_225"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"7"	"4784"	"26141_1_229.77"	"98.14"	"26141_1_229"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"8"	"6494"	"26141_1_262.73"	"98.41"	"26141_1_262"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"9"	"6540"	"28099_1_180.73"	"99.17"	"28099_1_180"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"10"	"5223"	"28099_1_228.35"	"98.18"	"28099_1_228"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"11"	"6788"	"28099_1_233.63"	"*"	"28099_1_233"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"12"	"4767"	"28099_1_244.72"	"98.28"	"28099_1_244"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"13"	"4850"	"28099_1_278.205"	"97.79"	"28099_1_278"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"14"	"5406"	"28099_1_354.38"	"96.54"	"28099_1_354"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"15"	"4724"	"28099_1_381.70"	"98.24"	"28099_1_381"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"16"	"6467"	"28099_1_46.76"	"98.58"	"28099_1_46"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"17"	"6457"	"28099_1_50.69"	"98.73"	"28099_1_50"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"18"	"6465"	"28099_1_53.66"	"98.61"	"28099_1_53"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"19"	"4680"	"28099_1_74.132"	"100.00"	"28099_1_74"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"20"	"4797"	"28099_2_109.70"	"98.02"	"28099_2_109"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"21"	"4767"	"28099_2_158.66"	"98.28"	"28099_2_158"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"22"	"4807"	"28099_2_178.170"	"97.75"	"28099_2_178"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"23"	"4910"	"34154_7_205.98"	"99.61"	"34154_7_205"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
4	"24"	"4711"	"34154_7_247.76"	"99.60"	"34154_7_247"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
5	"0"	"6375"	"34154_7_41.31"	"*"	"34154_7_41"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
6	"0"	"4571"	"28099_2_227.100"	"*"	"28099_2_227"	"contigs-SHV_12.clust.clstr"	"len_diff_0.6"
