"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"615359"	"28099_1_11.2"	"*"	"28099_1_11"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
1	"0"	"12555"	"28099_2_219.36"	"*"	"28099_2_219"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
2	"0"	"9646"	"28099_2_247.37"	"*"	"28099_2_247"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
3	"0"	"8376"	"28099_1_99.41"	"*"	"28099_1_99"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
4	"0"	"5266"	"28099_1_74.117"	"*"	"28099_1_74"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"0"	"4175"	"26141_1_239.83"	"*"	"26141_1_239"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"1"	"3619"	"26141_1_243.54"	"98.04"	"26141_1_243"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"2"	"3619"	"26141_1_246.59"	"98.04"	"26141_1_246"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"3"	"4175"	"26141_1_276.87"	"99.98"	"26141_1_276"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"4"	"4175"	"28099_1_119.49"	"100.00"	"28099_1_119"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"5"	"4089"	"28099_1_136.70"	"99.85"	"28099_1_136"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"6"	"4089"	"28099_2_146.64"	"100.00"	"28099_2_146"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
5	"7"	"4175"	"28099_2_40.73"	"99.98"	"28099_2_40"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
6	"0"	"3001"	"26141_1_191.91"	"*"	"26141_1_191"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
6	"1"	"3001"	"28099_2_194.55"	"100.00"	"28099_2_194"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
7	"0"	"2604"	"28099_1_301.69"	"*"	"28099_1_301"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
7	"1"	"2456"	"28099_2_126.65"	"99.88"	"28099_2_126"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
8	"0"	"2160"	"26141_1_250.79"	"98.80"	"26141_1_250"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
8	"1"	"2160"	"26141_1_298.81"	"98.80"	"26141_1_298"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
8	"2"	"2091"	"28099_1_69.86"	"100.00"	"28099_1_69"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
8	"3"	"2334"	"28099_1_73.97"	"*"	"28099_1_73"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
9	"0"	"1769"	"26141_1_137.72"	"100.00"	"26141_1_137"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
9	"1"	"1769"	"26141_1_138.82"	"100.00"	"26141_1_138"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
9	"2"	"1769"	"26141_1_139.60"	"100.00"	"26141_1_139"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
9	"3"	"1769"	"26141_1_148.103"	"100.00"	"26141_1_148"	"contigs-CTX_M_27.clust.clstr"	"len_diff_0.8"
