"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"1424667"	"34154_7_162.1"	"*"	"34154_7_162"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
1	"0"	"12461"	"34154_7_322.22"	"*"	"34154_7_322"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
2	"0"	"11582"	"34154_7_212.41"	"*"	"34154_7_212"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
3	"0"	"8790"	"26141_1_199.43"	"*"	"26141_1_199"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
3	"1"	"4910"	"34154_7_205.98"	"100.00"	"34154_7_205"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
3	"2"	"4711"	"34154_7_247.76"	"100.00"	"34154_7_247"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
4	"0"	"6788"	"28099_1_233.63"	"*"	"28099_1_233"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
4	"1"	"4680"	"28099_1_74.132"	"100.00"	"28099_1_74"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
5	"0"	"6540"	"28099_1_180.73"	"*"	"28099_1_180"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"0"	"4767"	"26141_1_146.76"	"100.00"	"26141_1_146"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"1"	"4724"	"26141_1_147.77"	"100.00"	"26141_1_147"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"2"	"4724"	"26141_1_183.75"	"100.00"	"26141_1_183"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"3"	"4767"	"26141_1_225.68"	"100.00"	"26141_1_225"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"4"	"4784"	"26141_1_229.77"	"100.00"	"26141_1_229"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"5"	"6494"	"26141_1_262.73"	"*"	"26141_1_262"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"6"	"4767"	"28099_1_244.72"	"100.00"	"28099_1_244"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
6	"7"	"4767"	"28099_2_158.66"	"100.00"	"28099_2_158"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
7	"0"	"6477"	"26141_1_213.65"	"*"	"26141_1_213"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
7	"1"	"6457"	"28099_1_50.69"	"100.00"	"28099_1_50"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
8	"0"	"6467"	"28099_1_46.76"	"*"	"28099_1_46"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
8	"1"	"6465"	"28099_1_53.66"	"100.00"	"28099_1_53"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
9	"0"	"6375"	"34154_7_41.31"	"*"	"34154_7_41"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
10	"0"	"5154"	"26141_1_198.52"	"100.00"	"26141_1_198"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
10	"1"	"5680"	"26141_1_200.51"	"*"	"26141_1_200"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
11	"0"	"5406"	"28099_1_354.38"	"*"	"28099_1_354"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
12	"0"	"5223"	"28099_1_228.35"	"*"	"28099_1_228"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
12	"1"	"4797"	"28099_2_109.70"	"100.00"	"28099_2_109"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
13	"0"	"5193"	"26141_1_203.78"	"*"	"26141_1_203"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
14	"0"	"4850"	"28099_1_278.205"	"*"	"28099_1_278"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
15	"0"	"4807"	"28099_2_178.170"	"*"	"28099_2_178"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
16	"0"	"4724"	"28099_1_381.70"	"*"	"28099_1_381"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
17	"0"	"4571"	"28099_2_227.100"	"*"	"28099_2_227"	"contigs-SHV_12.clust.clstr"	"seq_ident_1.0"
