"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"905844"	"28099_1_232.1"	"*"	"28099_1_232"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
1	"0"	"719384"	"34154_7_312.2"	"*"	"34154_7_312"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
2	"0"	"710824"	"34154_7_59.2"	"*"	"34154_7_59"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
3	"0"	"699805"	"34154_7_366.3"	"*"	"34154_7_366"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
4	"0"	"639293"	"34154_7_146.3"	"*"	"34154_7_146"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
5	"0"	"622199"	"34154_7_108.4"	"*"	"34154_7_108"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
6	"0"	"596631"	"26141_1_241.2"	"100.00"	"26141_1_241"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
6	"1"	"596635"	"26141_1_261.2"	"*"	"26141_1_261"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
6	"2"	"596632"	"26141_1_275.2"	"100.00"	"26141_1_275"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
6	"3"	"596632"	"26141_1_282.2"	"100.00"	"26141_1_282"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
6	"4"	"596634"	"28099_1_133.2"	"100.00"	"28099_1_133"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
7	"0"	"583775"	"28099_1_22.2"	"*"	"28099_1_22"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
8	"0"	"476494"	"28099_2_190.1"	"*"	"28099_2_190"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
9	"0"	"471211"	"34154_7_80.5"	"*"	"34154_7_80"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.8"
