"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"905844"	"28099_1_232.1"	"*"	"28099_1_232"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
1	"0"	"719384"	"34154_7_312.2"	"*"	"34154_7_312"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
2	"0"	"710824"	"34154_7_59.2"	"*"	"34154_7_59"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
3	"0"	"699805"	"34154_7_366.3"	"*"	"34154_7_366"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
4	"0"	"639293"	"34154_7_146.3"	"*"	"34154_7_146"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
5	"0"	"622199"	"34154_7_108.4"	"*"	"34154_7_108"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
5	"1"	"264137"	"34154_7_248.7"	"100.00"	"34154_7_248"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
5	"2"	"165204"	"34154_7_340.10"	"98.70"	"34154_7_340"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
5	"3"	"133218"	"34154_7_55.14"	"98.40"	"34154_7_55"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
5	"4"	"471211"	"34154_7_80.5"	"100.00"	"34154_7_80"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
6	"0"	"225561"	"26141_1_177.7"	"100.00"	"26141_1_177"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
6	"1"	"225549"	"26141_1_180.7"	"100.00"	"26141_1_180"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
6	"2"	"596631"	"26141_1_241.2"	"100.00"	"26141_1_241"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
6	"3"	"596635"	"26141_1_261.2"	"*"	"26141_1_261"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
6	"4"	"596632"	"26141_1_275.2"	"100.00"	"26141_1_275"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
6	"5"	"596632"	"26141_1_282.2"	"100.00"	"26141_1_282"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.2"
