"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"1424667"	"34154_7_162.1"	"*"	"34154_7_162"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"0"	"4767"	"26141_1_146.76"	"99.98"	"26141_1_146"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"1"	"4724"	"26141_1_147.77"	"99.98"	"26141_1_147"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"2"	"4724"	"26141_1_183.75"	"99.98"	"26141_1_183"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"3"	"5193"	"26141_1_203.78"	"99.96"	"26141_1_203"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"4"	"4767"	"26141_1_225.68"	"99.98"	"26141_1_225"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"5"	"6494"	"26141_1_262.73"	"98.54"	"26141_1_262"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"6"	"5223"	"28099_1_228.35"	"99.41"	"28099_1_228"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"7"	"4767"	"28099_1_244.72"	"99.98"	"28099_1_244"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"8"	"5406"	"28099_1_354.38"	"96.56"	"28099_1_354"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"9"	"4724"	"28099_1_381.70"	"99.96"	"28099_1_381"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"10"	"6467"	"28099_1_46.76"	"98.90"	"28099_1_46"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"11"	"6457"	"28099_1_50.69"	"98.98"	"28099_1_50"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"12"	"6465"	"28099_1_53.66"	"98.92"	"28099_1_53"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"13"	"4767"	"28099_2_158.66"	"99.98"	"28099_2_158"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
1	"14"	"12461"	"34154_7_322.22"	"*"	"34154_7_322"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
2	"0"	"4784"	"26141_1_229.77"	"99.69"	"26141_1_229"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
2	"1"	"4797"	"28099_2_109.70"	"99.69"	"28099_2_109"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
2	"2"	"11582"	"34154_7_212.41"	"*"	"34154_7_212"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
3	"0"	"5154"	"26141_1_198.52"	"99.63"	"26141_1_198"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
3	"1"	"8790"	"26141_1_199.43"	"*"	"26141_1_199"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
3	"2"	"5680"	"26141_1_200.51"	"99.67"	"26141_1_200"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
3	"3"	"4850"	"28099_1_278.205"	"99.59"	"28099_1_278"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
3	"4"	"4807"	"28099_2_178.170"	"99.71"	"28099_2_178"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
3	"5"	"4910"	"34154_7_205.98"	"100.00"	"34154_7_205"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
3	"6"	"4711"	"34154_7_247.76"	"100.00"	"34154_7_247"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
4	"0"	"6477"	"26141_1_213.65"	"98.72"	"26141_1_213"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
4	"1"	"6540"	"28099_1_180.73"	"99.17"	"28099_1_180"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
4	"2"	"6788"	"28099_1_233.63"	"*"	"28099_1_233"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
4	"3"	"4680"	"28099_1_74.132"	"100.00"	"28099_1_74"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
5	"0"	"6375"	"34154_7_41.31"	"*"	"34154_7_41"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
6	"0"	"4571"	"28099_2_227.100"	"*"	"28099_2_227"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.96"
