"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"1424667"	"34154_7_162.1"	"*"	"34154_7_162"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
1	"0"	"12461"	"34154_7_322.22"	"*"	"34154_7_322"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
2	"0"	"11582"	"34154_7_212.41"	"*"	"34154_7_212"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
3	"0"	"8790"	"26141_1_199.43"	"*"	"26141_1_199"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
4	"0"	"6477"	"26141_1_213.65"	"98.72"	"26141_1_213"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
4	"1"	"6494"	"26141_1_262.73"	"98.41"	"26141_1_262"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
4	"2"	"6540"	"28099_1_180.73"	"99.17"	"28099_1_180"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
4	"3"	"6788"	"28099_1_233.63"	"*"	"28099_1_233"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
4	"4"	"6467"	"28099_1_46.76"	"98.58"	"28099_1_46"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
4	"5"	"6457"	"28099_1_50.69"	"98.73"	"28099_1_50"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
4	"6"	"6465"	"28099_1_53.66"	"98.61"	"28099_1_53"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
5	"0"	"6375"	"34154_7_41.31"	"*"	"34154_7_41"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"0"	"4767"	"26141_1_146.76"	"99.69"	"26141_1_146"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"1"	"4724"	"26141_1_147.77"	"99.68"	"26141_1_147"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"2"	"4724"	"26141_1_183.75"	"99.68"	"26141_1_183"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"3"	"5154"	"26141_1_198.52"	"100.00"	"26141_1_198"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"4"	"5680"	"26141_1_200.51"	"*"	"26141_1_200"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"5"	"4767"	"26141_1_225.68"	"99.69"	"26141_1_225"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"6"	"4784"	"26141_1_229.77"	"99.69"	"26141_1_229"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"7"	"4767"	"28099_1_244.72"	"99.69"	"28099_1_244"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"8"	"4850"	"28099_1_278.205"	"99.69"	"28099_1_278"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"9"	"4724"	"28099_1_381.70"	"99.66"	"28099_1_381"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"10"	"4680"	"28099_1_74.132"	"99.94"	"28099_1_74"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"11"	"4797"	"28099_2_109.70"	"99.69"	"28099_2_109"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"12"	"4767"	"28099_2_158.66"	"99.69"	"28099_2_158"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"13"	"4807"	"28099_2_178.170"	"99.71"	"28099_2_178"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"14"	"4910"	"34154_7_205.98"	"100.00"	"34154_7_205"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
6	"15"	"4711"	"34154_7_247.76"	"100.00"	"34154_7_247"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
7	"0"	"5193"	"26141_1_203.78"	"98.52"	"26141_1_203"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
7	"1"	"5223"	"28099_1_228.35"	"97.97"	"28099_1_228"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
7	"2"	"5406"	"28099_1_354.38"	"*"	"28099_1_354"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
8	"0"	"4571"	"28099_2_227.100"	"*"	"28099_2_227"	"contigs-SHV_12.clust.clstr"	"len_diff_0.8"
