"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"905844"	"28099_1_232.1"	"*"	"28099_1_232"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
1	"0"	"719384"	"34154_7_312.2"	"*"	"34154_7_312"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
2	"0"	"710824"	"34154_7_59.2"	"*"	"34154_7_59"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
3	"0"	"699805"	"34154_7_366.3"	"*"	"34154_7_366"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
4	"0"	"639293"	"34154_7_146.3"	"*"	"34154_7_146"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
5	"0"	"622199"	"34154_7_108.4"	"*"	"34154_7_108"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
5	"1"	"471211"	"34154_7_80.5"	"100.00"	"34154_7_80"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
6	"0"	"596631"	"26141_1_241.2"	"100.00"	"26141_1_241"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
6	"1"	"596635"	"26141_1_261.2"	"*"	"26141_1_261"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
6	"2"	"596632"	"26141_1_275.2"	"100.00"	"26141_1_275"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
6	"3"	"596632"	"26141_1_282.2"	"100.00"	"26141_1_282"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
6	"4"	"596634"	"28099_1_133.2"	"100.00"	"28099_1_133"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
7	"0"	"583775"	"28099_1_22.2"	"*"	"28099_1_22"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
8	"0"	"476494"	"28099_2_190.1"	"*"	"28099_2_190"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
9	"0"	"442193"	"28099_1_371.2"	"*"	"28099_1_371"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
10	"0"	"433077"	"34154_7_18.2"	"*"	"34154_7_18"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
11	"0"	"422597"	"28099_1_260.2"	"*"	"28099_1_260"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
12	"0"	"408578"	"34154_7_30.4"	"*"	"34154_7_30"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
13	"0"	"396933"	"28099_1_173.3"	"*"	"28099_1_173"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
14	"0"	"376578"	"34154_7_376.4"	"*"	"34154_7_376"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
15	"0"	"366313"	"28099_2_255.3"	"*"	"28099_2_255"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
16	"0"	"360515"	"28099_1_19.4"	"*"	"28099_1_19"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
17	"0"	"331077"	"34154_7_94.7"	"*"	"34154_7_94"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
18	"0"	"328154"	"34154_7_369.6"	"*"	"34154_7_369"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
19	"0"	"324500"	"28099_1_382.5"	"*"	"28099_1_382"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
19	"1"	"316036"	"28099_1_82.5"	"98.86"	"28099_1_82"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
20	"0"	"306538"	"26141_1_144.4"	"100.00"	"26141_1_144"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
20	"1"	"189117"	"28099_1_167.7"	"99.92"	"28099_1_167"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
20	"2"	"306544"	"28099_1_207.5"	"*"	"28099_1_207"	"contigs-CTX_M_15.clust.clstr"	"len_diff_0.6"
