"cluster"	"id"	"length"	"contig"	"identity"	"Lane"	"filename"	"dir"
0	"0"	"1424667"	"34154_7_162.1"	"*"	"34154_7_162"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
1	"0"	"5193"	"26141_1_203.78"	"99.96"	"26141_1_203"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
1	"1"	"12461"	"34154_7_322.22"	"*"	"34154_7_322"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
2	"0"	"11582"	"34154_7_212.41"	"*"	"34154_7_212"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
3	"0"	"5154"	"26141_1_198.52"	"99.63"	"26141_1_198"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
3	"1"	"8790"	"26141_1_199.43"	"*"	"26141_1_199"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
3	"2"	"5680"	"26141_1_200.51"	"99.67"	"26141_1_200"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
3	"3"	"4850"	"28099_1_278.205"	"99.59"	"28099_1_278"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
3	"4"	"4807"	"28099_2_178.170"	"99.71"	"28099_2_178"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
3	"5"	"4910"	"34154_7_205.98"	"100.00"	"34154_7_205"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
3	"6"	"4711"	"34154_7_247.76"	"100.00"	"34154_7_247"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
4	"0"	"6540"	"28099_1_180.73"	"99.17"	"28099_1_180"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
4	"1"	"6788"	"28099_1_233.63"	"*"	"28099_1_233"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
4	"2"	"4680"	"28099_1_74.132"	"100.00"	"28099_1_74"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"0"	"4767"	"26141_1_146.76"	"100.00"	"26141_1_146"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"1"	"4724"	"26141_1_147.77"	"100.00"	"26141_1_147"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"2"	"4724"	"26141_1_183.75"	"100.00"	"26141_1_183"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"3"	"6477"	"26141_1_213.65"	"99.94"	"26141_1_213"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"4"	"4767"	"26141_1_225.68"	"100.00"	"26141_1_225"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"5"	"4784"	"26141_1_229.77"	"100.00"	"26141_1_229"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"6"	"6494"	"26141_1_262.73"	"*"	"26141_1_262"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"7"	"5223"	"28099_1_228.35"	"99.73"	"28099_1_228"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"8"	"4767"	"28099_1_244.72"	"100.00"	"28099_1_244"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"9"	"4724"	"28099_1_381.70"	"99.98"	"28099_1_381"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"10"	"6467"	"28099_1_46.76"	"99.98"	"28099_1_46"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"11"	"6457"	"28099_1_50.69"	"99.98"	"28099_1_50"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"12"	"6465"	"28099_1_53.66"	"99.98"	"28099_1_53"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"13"	"4797"	"28099_2_109.70"	"99.73"	"28099_2_109"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
5	"14"	"4767"	"28099_2_158.66"	"100.00"	"28099_2_158"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
6	"0"	"6375"	"34154_7_41.31"	"*"	"34154_7_41"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
7	"0"	"5406"	"28099_1_354.38"	"*"	"28099_1_354"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
8	"0"	"4571"	"28099_2_227.100"	"*"	"28099_2_227"	"contigs-SHV_12.clust.clstr"	"seq_ident_0.99"
