Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	ST Complex	Lineage	Subspecies	adk	fumC	gyrB	icd	mdh	purA	recA
ESC_AA2794AA	124.02	traces-0fWKWXn;7GeneMLST;ND;;NA		Human	Human	2002				North America	Canada			Calgary, AB				Johann D.D. Pitout				A	Pathogen	ESBL CTX-M-15		None	NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA2794AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2795AA	7N	traces-0iQrWjm;7GeneMLST;ND;;NA		Human	Human	2008				Europe	Spain			Madrid				Hospital Ramon y Cajal (IRYCIS)				A	Pathogen			None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2795AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2796AA	VB 990555	traces-0LsGLpg;7GeneMLST;ND;;NA		Companion animal	Cat	2009				Europe	Germany							IMT FU-Berlin		On.t.	NM		Pathogen	UPEC		UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2796AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2797AA	BRA4134	traces-0uinXoj;7GeneMLST;ND;;NA		Human	Human	2008				South America	Brazil			Rio de Janeiro				CLS Microbiology						ESBL CTX-M-15		None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2797AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2798AA	QM18	traces-0KZXQWu;7GeneMLST;ND;;NA		Human	Human	2007				North America	Canada			Montreal, QC				Johann D.D. Pitout				A	Pathogen	ESBL CTX-M-15		None	NA	NA	Wound infection	NA	NA	2015-08-26	2015-08-26	ESC_AA2798AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2799AA	M559	traces-0rYMpgk;7GeneMLST;ND;;NA			Bovine	1996				North America	Canada			Ontario				C. Gyles, University of Guelph, Ontario			O8:K25,K99		Pathogen	ETEC		Diarrhoea	NA	NA	Diarrhoea	NA	NA	2015-08-26	2015-08-26	ESC_AA2799AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2800AA	A2012.16.1	traces-0DaECJV;7GeneMLST;ND;;NA		Wild Animal	Rattus norvegicus	2012				Australasia	Vietnam			Hanoi				Osaka City University					Pathogen			None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2800AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2801AA	21	traces-0wQUTjN;7GeneMLST;ND;;NA		Human	Human					Europe	England							Health Protection Agency, North West					Pathogen			None	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2801AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2802AA	IMT15002	traces-0JNujbI;7GeneMLST;ND;;NA		Companion animal	Dog	2004				Europe	Germany							IMT FU-Berlin		K1	On.t.:K1:Hn.t.		Pathogen	ExPEC		Genital tract infection	NA	NA	UGTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2802AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2803AA	EVS 430.06	traces-0pzgnmi;7GeneMLST;ND;;NA		Human	Human	2006				North America	Canada			Calgary, AB				Johann D.D. Pitout				A	Pathogen	ESBL CTX-M-15		None	NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA2803AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
