id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
.28099_1_11.2	0	12	615359	1	100	100%
.28099_1_132.77	0	12	1527	0	100.00%	0%
.28099_1_362.78	0	12	1489	0	100.00%	0%
.28099_1_58.75	0	12	1489	0	100.00%	0%
.28099_1_282.78	0	12	1488	0	100.00%	0%
.26141_1_252.82	0	12	1486	0	100.00%	0%
.26141_1_260.126	0	12	1479	0	100.00%	0%
.28099_1_102.70	0	12	1479	0	100.00%	0%
.28099_1_176.74	0	12	1479	0	100.00%	0%
.26141_1_182.89	0	12	1429	0	100.00%	0%
.26141_1_187.91	0	12	1429	0	100.00%	0%
.28099_1_329.537	0	12	1217	0	100.00%	0%
.28099_2_219.36	1	46	12555	1	100	100%
.28099_1_301.69	1	46	2604	0	97.73%	20%
.28099_2_126.65	1	46	2456	0	99.88%	19%
.28099_1_333.51	1	46	1777	0	100.00%	14%
.26141_1_137.72	1	46	1769	0	100.00%	14%
.26141_1_138.82	1	46	1769	0	100.00%	14%
.26141_1_139.60	1	46	1769	0	100.00%	14%
.26141_1_148.103	1	46	1769	0	100.00%	14%
.26141_1_150.71	1	46	1769	0	100.00%	14%
.26141_1_153.61	1	46	1769	0	100.00%	14%
.26141_1_155.114	1	46	1769	0	100.00%	14%
.26141_1_172.58	1	46	1769	0	100.00%	14%
.26141_1_173.59	1	46	1769	0	100.00%	14%
.26141_1_179.87	1	46	1769	0	100.00%	14%
.26141_1_207.83	1	46	1769	0	100.00%	14%
.26141_1_211.74	1	46	1769	0	100.00%	14%
.26141_1_217.62	1	46	1769	0	100.00%	14%
.26141_1_218.81	1	46	1769	0	100.00%	14%
.26141_1_227.61	1	46	1769	0	100.00%	14%
.26141_1_228.58	1	46	1769	0	100.00%	14%
.26141_1_292.61	1	46	1769	0	100.00%	14%
.26141_1_295.80	1	46	1769	0	100.00%	14%
.28099_1_120.51	1	46	1769	0	100.00%	14%
.28099_1_153.70	1	46	1769	0	100.00%	14%
.28099_1_203.72	1	46	1769	0	100.00%	14%
.28099_1_230.74	1	46	1769	0	100.00%	14%
.28099_1_237.43	1	46	1769	0	99.94%	14%
.28099_1_254.55	1	46	1769	0	100.00%	14%
.28099_1_294.52	1	46	1769	0	100.00%	14%
.28099_1_317.71	1	46	1769	0	100.00%	14%
.28099_1_322.59	1	46	1769	0	100.00%	14%
.28099_1_342.57	1	46	1769	0	100.00%	14%
.28099_1_346.69	1	46	1769	0	100.00%	14%
.28099_1_35.86	1	46	1769	0	100.00%	14%
.28099_1_353.68	1	46	1769	0	100.00%	14%
.28099_1_41.180	1	46	1769	0	100.00%	14%
.28099_1_57.144	1	46	1769	0	100.00%	14%
.28099_1_65.54	1	46	1769	0	100.00%	14%
.28099_1_91.49	1	46	1769	0	100.00%	14%
.28099_2_16.54	1	46	1769	0	100.00%	14%
.28099_2_210.73	1	46	1769	0	100.00%	14%
.28099_2_291.75	1	46	1769	0	100.00%	14%
.28099_2_84.72	1	46	1769	0	100.00%	14%
.28099_1_139.38	1	46	1758	0	99.89%	14%
.26141_1_257.61	1	46	1513	0	100.00%	12%
.28099_1_1.38	1	46	1513	0	100.00%	12%
.28099_2_247.37	2	12	9646	1	100	100%
.26141_1_243.54	2	12	3619	0	100.00%	37%
.26141_1_246.59	2	12	3619	0	100.00%	37%
.26141_1_191.91	2	12	3001	0	97.33%	31%
.28099_2_194.55	2	12	3001	0	97.33%	31%
.28099_1_73.97	2	12	2334	0	96.57%	24%
.26141_1_250.79	2	12	2160	0	100.00%	22%
.26141_1_298.81	2	12	2160	0	100.00%	22%
.28099_1_69.86	2	12	2091	0	100.00%	21%
.26141_1_251.89	2	12	1678	0	100.00%	17%
.28099_1_195.70	2	12	1619	0	100.00%	16%
.28099_1_361.83	2	12	1609	0	99.94%	16%
.28099_1_99.41	3	2	8376	1	100	100%
.28099_2_130.70	3	2	1803	0	99.45%	21%
.28099_1_74.117	4	1	5266	1	100	100%
.26141_1_239.83	5	6	4175	1	100	100%
.26141_1_276.87	5	6	4175	0	99.98%	100%
.28099_1_119.49	5	6	4175	0	100.00%	100%
.28099_2_40.73	5	6	4175	0	99.98%	100%
.28099_1_136.70	5	6	4089	0	99.85%	97%
.28099_2_146.64	5	6	4089	0	100.00%	97%
