id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
.28099_1_62.102	0	13	6639	1	100	100%
.28099_2_299.44	0	13	3242	0	95.19%	48%
.28099_1_216.82	0	13	3183	0	96.70%	47%
.28099_2_3.85	0	13	3183	0	96.70%	47%
.28099_1_284.55	0	13	3086	0	97.99%	46%
.26141_1_259.148	0	13	3071	0	97.72%	46%
.26141_1_283.70	0	13	3069	0	97.49%	46%
.26141_1_196.55	0	13	3050	0	97.61%	45%
.26141_1_175.39	0	13	3042	0	97.76%	45%
.26141_1_287.58	0	13	3017	0	97.94%	45%
.28099_1_240.52	0	13	3017	0	97.94%	45%
.28099_1_55.28	0	13	3017	0	97.94%	45%
.28099_2_64.69	0	13	3017	0	97.94%	45%
.34154_7_199.55	1	1	4873	1	100	100%
.28099_1_278.239	2	1	3666	1	100	100%
