id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
.28099_1_232.1	0	1	905844	1	100	100%
.34154_7_312.2	1	8	719384	1	100	100%
.34154_7_10.50	1	8	4600	0	98.11%	0%
.34154_7_102.50	1	8	4407	0	100.00%	0%
.26141_1_226.92	1	8	4007	0	96.68%	0%
.26141_1_223.100	1	8	3050	0	100.00%	0%
.26141_1_273.98	1	8	3050	0	100.00%	0%
.34154_7_269.41	1	8	1565	0	100.00%	0%
.34154_7_324.45	1	8	1565	0	100.00%	0%
.34154_7_59.2	2	1	710824	1	100	100%
.34154_7_366.3	3	1	699805	1	100	100%
.34154_7_146.3	4	2	639293	1	100	100%
.34154_7_360.24	4	2	2135	0	95.32%	0%
.34154_7_108.4	5	6	622199	1	100	100%
.34154_7_80.5	5	6	471211	0	100.00%	75%
.34154_7_248.7	5	6	264137	0	100.00%	42%
.34154_7_340.10	5	6	165204	0	98.70%	26%
.34154_7_55.14	5	6	133218	0	98.40%	21%
.34154_7_12.32	5	6	37333	0	99.69%	6%
.26141_1_261.2	6	13	596635	1	100	100%
.28099_1_133.2	6	13	596634	0	100.00%	99%
.26141_1_275.2	6	13	596632	0	100.00%	99%
.26141_1_282.2	6	13	596632	0	100.00%	99%
.26141_1_241.2	6	13	596631	0	100.00%	99%
.28099_1_43.8	6	13	226637	0	99.99%	37%
.26141_1_177.7	6	13	225561	0	100.00%	37%
.26141_1_180.7	6	13	225549	0	100.00%	37%
.28099_1_213.7	6	13	225549	0	100.00%	37%
.28099_1_321.9	6	13	225549	0	100.00%	37%
.26141_1_215.28	6	13	12361	0	99.48%	2%
.26141_1_263.40	6	13	9195	0	100.00%	1%
.26141_1_265.45	6	13	9195	0	100.00%	1%
.28099_1_22.2	7	1	583775	1	100	100%
.28099_2_190.1	8	1	476494	1	100	100%
.28099_1_371.2	9	1	442193	1	100	100%
.34154_7_18.2	10	22	433077	1	100	100%
.34154_7_343.22	10	22	37481	0	100.00%	8%
.34154_7_218.23	10	22	12937	0	100.00%	2%
.34154_7_255.27	10	22	11722	0	100.00%	2%
.34154_7_216.18	10	22	11721	0	100.00%	2%
.34154_7_234.25	10	22	11721	0	100.00%	2%
.34154_7_289.22	10	22	11721	0	100.00%	2%
.34154_7_332.18	10	22	11721	0	100.00%	2%
.34154_7_352.28	10	22	11721	0	100.00%	2%
.34154_7_36.24	10	22	11721	0	100.00%	2%
.34154_7_271.30	10	22	10978	0	100.00%	2%
.34154_7_227.28	10	22	9042	0	100.00%	2%
.34154_7_39.19	10	22	9042	0	100.00%	2%
.34154_7_239.38	10	22	8817	0	100.00%	2%
.34154_7_5.22	10	22	8720	0	99.24%	2%
.34154_7_97.17	10	22	8210	0	100.00%	1%
.28099_1_257.36	10	22	6537	0	98.72%	1%
.28099_1_375.43	10	22	6537	0	98.72%	1%
.34154_7_231.63	10	22	6062	0	100.00%	1%
.34154_7_279.28	10	22	4541	0	98.72%	1%
.34154_7_374.29	10	22	4429	0	100.00%	1%
.34154_7_33.71	10	22	3221	0	100.00%	0%
.28099_1_260.2	11	1	422597	1	100	100%
.34154_7_30.4	12	1	408578	1	100	100%
.28099_1_173.3	13	1	396933	1	100	100%
.34154_7_376.4	14	1	376578	1	100	100%
.28099_2_255.3	15	3	366313	1	100	100%
.26141_1_142.71	15	3	3055	0	100.00%	0%
.26141_1_143.70	15	3	3055	0	100.00%	0%
.28099_1_19.4	16	1	360515	1	100	100%
.34154_7_94.7	17	1	331077	1	100	100%
.34154_7_369.6	18	2	328154	1	100	100%
.34154_7_325.33	18	2	5928	0	100.00%	1%
.28099_1_382.5	19	3	324500	1	100	100%
.28099_1_82.5	19	3	316036	0	98.86%	97%
.26141_1_186.13	19	3	157061	0	99.96%	48%
.28099_1_207.5	20	6	306544	1	100	100%
.26141_1_144.4	20	6	306538	0	100.00%	99%
.28099_1_306.5	20	6	306530	0	100.00%	99%
.28099_1_349.3	20	6	306506	0	100.00%	99%
.28099_1_167.7	20	6	189117	0	99.92%	61%
.28099_2_308.5	20	6	173330	0	100.00%	56%
.28099_1_110.6	21	5	297207	1	100	100%
.28099_1_269.6	21	5	269965	0	99.81%	90%
.28099_2_56.7	21	5	268503	0	100.00%	90%
.28099_2_182.7	21	5	268461	0	100.00%	90%
.26141_1_168.6	21	5	268458	0	100.00%	90%
.28099_2_80.4	22	2	294077	1	100	100%
.26141_1_166.18	22	2	101437	0	99.88%	34%
.28099_1_106.4	23	7	254320	1	100	100%
.28099_1_47.16	23	7	109923	0	98.90%	43%
.28099_1_315.15	23	7	109921	0	98.90%	43%
.26141_1_236.17	23	7	108728	0	99.99%	42%
.26141_1_297.18	23	7	108715	0	100.00%	42%
.28099_1_209.16	23	7	108715	0	100.00%	42%
.28099_2_48.18	23	7	108715	0	100.00%	42%
.28099_1_277.7	24	1	247271	1	100	100%
.34154_7_75.9	25	12	244091	1	100	100%
.28099_1_30.43	25	12	3888	0	100.00%	1%
.28099_1_314.48	25	12	3888	0	100.00%	1%
.28099_1_318.51	25	12	3888	0	100.00%	1%
.28099_1_378.47	25	12	3888	0	100.00%	1%
.28099_1_7.50	25	12	3888	0	100.00%	1%
.28099_1_338.45	25	12	3874	0	100.00%	1%
.26141_1_293.46	25	12	3811	0	100.00%	1%
.28099_1_149.42	25	12	3811	0	100.00%	1%
.28099_1_217.43	25	12	3811	0	100.00%	1%
.28099_2_154.45	25	12	3811	0	100.00%	1%
.26141_1_158.61	25	12	3809	0	100.00%	1%
.28099_1_363.7	26	4	244046	1	100	100%
.28099_1_34.8	26	4	211507	0	99.99%	86%
.28099_1_191.24	26	4	38076	0	98.47%	15%
.34154_7_91.22	26	4	14399	0	99.15%	5%
.34154_7_379.11	27	2	237303	1	100	100%
.28099_1_196.52	27	2	15425	0	99.99%	6%
.34154_7_74.9	28	1	223787	1	100	100%
.28099_1_204.4	29	17	219678	1	100	100%
.26141_1_134.5	29	17	202286	0	99.95%	92%
.26141_1_248.4	29	17	202257	0	99.98%	92%
.26141_1_165.4	29	17	202237	0	99.97%	92%
.26141_1_135.4	29	17	202221	0	99.91%	92%
.26141_1_212.4	29	17	202220	0	100.00%	92%
.26141_1_164.4	29	17	202182	0	100.00%	92%
.26141_1_204.4	29	17	202182	0	99.91%	92%
.26141_1_256.4	29	17	202182	0	100.00%	92%
.26141_1_274.4	29	17	202182	0	99.91%	92%
.26141_1_205.3	29	17	202111	0	99.97%	92%
.28099_1_285.5	29	17	202111	0	99.97%	92%
.26141_1_136.5	29	17	202001	0	100.00%	91%
.28099_1_54.5	29	17	202001	0	100.00%	91%
.28099_1_71.6	29	17	202001	0	100.00%	91%
.26141_1_145.3	29	17	202000	0	100.00%	91%
.28099_2_223.2	29	17	182926	0	99.99%	83%
.28099_2_243.8	30	1	211268	1	100	100%
.34154_7_116.11	31	1	193549	1	100	100%
.34154_7_260.10	32	2	175829	1	100	100%
.34154_7_125.15	32	2	87974	0	98.39%	50%
.28099_2_8.10	33	2	157710	1	100	100%
.26141_1_176.12	33	2	133677	0	100.00%	84%
.28099_2_259.11	34	1	143254	1	100	100%
.28099_1_75.10	35	5	129182	1	100	100%
.26141_1_222.16	35	5	97480	0	95.29%	75%
.28099_1_114.17	35	5	97480	0	95.29%	75%
.28099_1_319.15	35	5	97480	0	95.29%	75%
.28099_1_172.19	35	5	86746	0	100.00%	67%
.34154_7_24.9	36	4	126242	1	100	100%
.34154_7_168.10	36	4	126228	0	96.21%	99%
.34154_7_4.16	36	4	9856	0	99.76%	7%
.34154_7_219.28	36	4	8813	0	99.99%	6%
.34154_7_378.12	37	1	122062	1	100	100%
.28099_1_70.15	38	2	120562	1	100	100%
.28099_1_111.21	38	2	117371	0	100.00%	97%
.34154_7_166.16	39	2	113744	1	100	100%
.34154_7_338.42	39	2	5968	0	100.00%	5%
.34154_7_148.14	40	3	111865	1	100	100%
.34154_7_69.13	40	3	111862	0	100.00%	99%
.34154_7_58.16	40	3	104469	0	95.23%	93%
.28099_1_323.14	41	21	111640	1	100	100%
.26141_1_189.13	41	21	110144	0	100.00%	98%
.26141_1_190.13	41	21	110144	0	100.00%	98%
.26141_1_206.16	41	21	110144	0	100.00%	98%
.26141_1_210.13	41	21	110144	0	100.00%	98%
.26141_1_219.13	41	21	110144	0	100.00%	98%
