id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
.28099_1_383.1	0	1	799635	1	100	100%
.28099_1_14.3	1	1	366329	1	100	100%
.28099_1_87.22	2	1	55134	1	100	100%
.34154_7_16.18	3	2	24040	1	100	100%
.34154_7_183.42	3	2	20928	0	100.00%	87%
.28099_1_38.48	4	11	6020	1	100	100%
.28099_1_212.49	4	11	4321	0	100.00%	71%
.26141_1_266.42	4	11	3714	0	98.82%	61%
.26141_1_253.38	4	11	3680	0	100.00%	61%
.26141_1_154.62	4	11	3626	0	100.00%	60%
.26141_1_184.61	4	11	3626	0	99.97%	60%
.26141_1_289.76	4	11	3626	0	100.00%	60%
.28099_1_199.54	4	11	3626	0	100.00%	60%
.28099_1_224.41	4	11	3626	0	100.00%	60%
.28099_2_223.268	4	11	3626	0	100.00%	60%
.28099_2_32.59	4	11	3626	0	100.00%	60%
.28099_1_98.51	5	3	5107	1	100	100%
.28099_2_186.34	5	3	4321	0	96.34%	84%
.28099_1_192.112	5	3	3658	0	99.75%	71%
